test_acc,dataset,i_set,train_acc,test_loss,train_loss
93.31103515625,detailed-1000pre,1,88.15453338623047,0.33262693881988525,0.5186622738838196
93.31103515625,detailed-1000pre,1,88.15453338623047,0.3322587013244629,0.518254280090332
93.31103515625,detailed-1000pre,1,88.15453338623047,0.33189657330513,0.5178624391555786
93.31103515625,detailed-1000pre,1,88.18646240234375,0.33153632283210754,0.5174766182899475
93.31103515625,detailed-1000pre,1,88.18646240234375,0.33117613196372986,0.5170924067497253
93.31103515625,detailed-1000pre,1,88.18646240234375,0.33081337809562683,0.516708254814148
93.31103515625,detailed-1000pre,1,88.18646240234375,0.3304462134838104,0.5163230299949646
93.31103515625,detailed-1000pre,1,88.15453338623047,0.3300756812095642,0.5159338116645813
93.31103515625,detailed-1000pre,1,88.18646240234375,0.32970303297042847,0.5155408978462219
93.31103515625,detailed-1000pre,1,88.18646240234375,0.32932695746421814,0.5151481032371521
93.31103515625,detailed-1000pre,1,88.21839141845703,0.3289453983306885,0.5147532820701599
93.31103515625,detailed-1000pre,1,88.25032043457031,0.32855525612831116,0.5143522024154663
93.31103515625,detailed-1000pre,1,88.25032043457031,0.3281533420085907,0.5139425992965698
93.31103515625,detailed-1000pre,1,88.34610748291016,0.32773837447166443,0.5135220289230347
93.31103515625,detailed-1000pre,1,88.37803649902344,0.3273133337497711,0.5130891799926758
93.31103515625,detailed-1000pre,1,88.37803649902344,0.32688266038894653,0.51264488697052
93.31103515625,detailed-1000pre,1,88.34610748291016,0.3264402449131012,0.5121926069259644
93.31103515625,detailed-1000pre,1,88.34610748291016,0.3259847164154053,0.5117314457893372
93.31103515625,detailed-1000pre,1,88.34610748291016,0.3255167603492737,0.5112587809562683
93.47826385498047,detailed-1000pre,1,88.34610748291016,0.32504647970199585,0.5107744932174683
93.47826385498047,detailed-1000pre,1,88.40995788574219,0.32456904649734497,0.5102856159210205
93.47826385498047,detailed-1000pre,1,88.34610748291016,0.324080228805542,0.5097938179969788
93.47826385498047,detailed-1000pre,1,88.37803649902344,0.3235866129398346,0.5092952847480774
93.47826385498047,detailed-1000pre,1,88.34610748291016,0.3231358528137207,0.5087891221046448
